REGISTRO GENERAL DE PERSONAS;;;
;;;
Nø;Apellidos;Nombres;DNI
1;µlvarez Martin;Paula;27.682.304
2;Guerrero Guti‚rrez;Antonio;44.183.049
3;Romero Lozano;Fernando;40.873.993
4;Ortega Navarro;Luisa;35.456.012
5;Morales Serrano;Andr‚s;11.608.588
6;L¢pez Mar¡n;Jorge;19.777.036
7;Santos Castro;Roc¡o;36.954.639
8;Castillo Cano;Carlos;28.062.224
9;N£¤ez Castillo;Pablo;14.214.160
10;Morales Lozano;Sara;16.158.740
11;Blanco Mart¡nez;Ricardo;11.316.757
12;Ortega Serrano;Javier;41.809.429
13;Gil L¢pez;Marta;48.417.816
14;Santos Gonz lez;µlvaro;39.577.629
15;Hern ndez S nchez;Andr‚s;12.840.478
16;Mar¡n Alonso;Sara;19.667.487
17;Mart¡nez P‚rez;Valeria;32.448.032
18;Lozano Rubio;Laura;36.690.463
19;Morales Blanco;Roberto;47.649.825
20;Gil Mu¤oz;Juan;43.990.048
21;G¢mez Rubio;Paula;34.762.281
22;S nchez G¢mez;Gabriel;37.358.634
23;Delgado Dom¡nguez;Hugo;27.862.058
24;Guti‚rrez Serrano;Roberto;19.147.312
25;Diaz S nchez;Daniela;25.872.946
26;Ortega Rodr¡guez;Paula;40.779.828
27;Alonso µlvarez;Adri n;32.831.029
28;Cano Dom¡nguez;Ana;34.704.436
29;L¢pez S nchez;Sof¡a;48.012.855
30;Sanz Cortes;Eva;32.207.930
31;P‚rez Sanz;Marta;29.779.518
32;Castillo Delgado;Jos‚;27.695.167
33;S nchez Navarro;Fernando;47.015.490
34;Ruiz Mart¡nez;Natalia;26.458.694
35;Prieto P‚rez;Roc¡o;25.825.353
36;Cano Martin;Eva;46.025.289
37;Fern ndez Guti‚rrez;Adri n;40.432.717
38;P‚rez Ramos;Marcos;43.995.214
39;Blanco Castro;Ricardo;47.360.592
40;Guti‚rrez Sanz;Manuel;42.196.562
41;Mart¡nez Diaz;Marina;29.744.217
42;Medina Garrido;Alba;16.643.674
43;Medina Navarro;Clara;44.882.521
44;µlvarez Ortiz;Alejandro;21.767.267
45;Castillo Romero;Natalia;41.024.100
46;Hern ndez Morales;Ricardo;16.790.629
47;Mu¤oz V zquez;Luisa;16.680.044
48;Medina µlvarez;Fernando;29.313.645
49;Ortiz Gil;Pablo;30.428.269
50;L¢pez Garrido;Clara;49.515.631
51;Garc¡a Gonz lez;Irene;22.695.023
52;Jim‚nez P‚rez;Carmen;48.405.618
53;Molina Prieto;Alba;35.862.643
54;µlvarez Medina;Ricardo;14.221.428
55;Moreno Ruiz;Luc¡a;19.479.672
56;Morales Blanco;Alba;33.976.442
57;Alonso Ortega;Sof¡a;17.336.961
58;Su rez Ruiz;Javier;39.797.377
59;Mu¤oz Mar¡n;Ricardo;17.428.097
60;S nchez Sanz;Roc¡o;40.561.284
61;Garrido Mar¡n;Adri n;33.909.381
62;Ram¡rez Castillo;Alba;35.691.148
63;Mu¤oz Castillo;Marina;25.920.654
64;Ram¡rez Guerrero;Diego;36.568.718
65;Castro Cortes;Laura;40.744.092
66;Iglesias Garc¡a;Marcos;49.525.921
67;Fern ndez Diaz;Antonio;14.876.321
68;µlvarez Iglesias;Hugo;17.162.915
69;Navarro Ramos;Francisco;22.988.965
70;Guerrero Torres;Laura;43.575.466
71;Serrano Martin;Gabriel;30.255.787
72;Prieto Ruiz;Luisa;28.080.303
73;Rodr¡guez Ruiz;Elena;38.353.586
74;Morales L¢pez;Luc¡a;12.952.756
75;Torres Gonz lez;Alejandro;44.300.981
76;Su rez Ortega;Irene;48.266.422
77;Hern ndez Ortiz;Mar¡a;46.192.311
78;Sanz Molina;Luisa;36.286.647
79;Dom¡nguez Cano;Ana;42.010.809
80;Rodr¡guez Prieto;Marta;44.077.754
81;Alonso Guti‚rrez;Natalia;38.229.685
82;µlvarez Ortiz;Gonzalo;26.563.264
83;Gil Rubio;Daniela;30.176.451
84;Morales Garrido;Laura;13.063.880
85;Ruiz G¢mez;Juan;45.568.212
86;Alonso Romero;Jorge;45.040.342
87;Guerrero Serrano;Elena;26.063.575
88;Mu¤oz Garrido;Antonio;33.479.385
89;Hern ndez V zquez;Eva;26.990.304
